Article identifier,Rumor or Deal Number,Text,Timestamp,Article Header,Rumor or Deal,Target1,Target2,Acquirer1,Acquirer2,Acquirer3,Acquirer4,Bullish/Bearish for the target (0 or 1),Bearish/Bullish for the acquirer (0 or 1),Announcement Date (if different from Article date),Notes
zK41,2,"Shares of Laredo Petroleum, Inc. (NYSE: LPI) rose Thursday on a report from the deal that the company could be a takeover target. Laredo has been mentioned previously as a possible acquisition.The Leon Cooperman's Omega Advisors reported a new 2.1M share stake in February.Laredo Petroleum shares rose 4.5% Thursday, closing at $11.54.Posted-In: News Rumors Management M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",7/9/2015 19:29:00,"Benzinga's M&A Chatter for Thursday July 9, 2015",The Rumor:,,,,,,,,,,
ec66,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Tuesday July 7, 2015:Horizon Pharma Announces Offer for Depomed of $29.25 in StockThe Offer:Horizon Pharma plc (NASDAQ: HZNP) announced Tuesday, a proposal to acquire all outstanding shares of Depomed, Inc. (NASDAQ: DEPO) for $29.25 in Horizon shares, or approximately $3.0 billion. Depomed confirmed that it received the proposal from Horizon Pharma, stating it is not in the best interest of Depomed shareholders.Depomed shares rose 38% Tuesday, closing at $28.62. EXOR Announces New Enhanced Terms for PartnerRe ShareholdersThe Enhanced Offer:EXOR S.p.A. (OTC: EXOSF), the largest shareholder of PartnerRe Ltd. (NYSE: PRE) held an investor meeting in New York City on Tuesday, for PartnerRe shareholders. EXOR Chairman and CEO John Elkann, announced further enhancements to its $137.50 per share all-cash offer: 1) EXOR will permit PartnerRe to actively solicit bids, share due diligence materials and negotiate with third parties until August 31, 2015, so that shareholders have assurance that the EXOR Binding Offer remains the superior alternative for the company. 2) PartnerRe and AXIS agreed to a termination and expense reimbursement fee of $315 million, worth $6.39 per share to PartnerRe shareholders. If both PartnerRe and AXIS shareholders vote down the PartnerRe/AXIS transaction, EXOR commits to pass the value on to PartnerRe shareholders in full, effectively increasing the value of its binding offer to $143.89 per share.Also included in the enhancements are a 100bps increase in the dividend rate, call protection for preferred shares until January 1 , 2021 and 5 years of capital distribution limits.PartnerRe shares rose $0.49 Tuesday, closing at $131.49EMC to Sell Syncplicity to SkyView Capital LLC",7/7/2015 18:23:00,"Benzinga's M&A Chatter for Tuesday July 7, 2015",NA,,,,,,,,,,
ec66,1,"EMC (NYSE: EMC) is selling Dropbox competitor Syncplicity to SkyView Capital LLC. Financial terms were not disclosed.EMC shares rose 1% Tuesday, closing at $26.60.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",7/7/2015 18:23:00,"Benzinga's M&A Chatter for Tuesday July 7, 2015",The Deal:,EMC,,,,,,,,,
Bv87,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Monday July 6, 2015:Hearing Teva To Raise Bid For Mylan To $86-$88/Share This Week",7/6/2015 18:10:00,"Benzinga's M&A Chatter for Monday July 6, 2015",NA,,,,,,,,,,
Bv87,1,"Shares of Mylan N.V. (NYSE: MYL) spiked to an intraday high of $73.90 Monday, following a report from Bloomberg, that Teva Pharmaceutical Industries Limited (TEVA) could raise its offer to $86.00 to $88.00 per share, according to sources. Teva had offered $82.00 per share in April.Mylan offered $35 billion for Perrigo (NYSE: PRGO). That bid was backed by Abbot Labs (NYSE: ABT) which has a 14.5% stake in Mylan.Mylan shares rose $0.63 Friday, closing at $70.75. IBM Said to Bid for FireEye",7/6/2015 18:10:00,"Benzinga's M&A Chatter for Monday July 6, 2015",The Rumor:,MYL,,TEVA,,,,,,,
Bv87,2,"Shares of FireEye (NASDAQ: FEYE) rose Monday, on renewed unconfirmed market chatter of a potential offer from IBM (NYSE: IBM). Deal Reporter said in December that FireEye had been approached by both IBM and Oracle (NYSE: ORCL).Spokespersons for FireEye and IBM were not available for comment.FireEye shares fell $0.18 Monday, closing at $48.01.Hearing Unconfirmed Market Chatter of Lenovo Interest in Marvell Technology",7/6/2015 18:10:00,"Benzinga's M&A Chatter for Monday July 6, 2015",The Rumor:,FEYE,,IBM,,,,,,,
Bv87,3,"Shares of Marvell Technology Group Ltd. (NASDAQ: MRVL) rose briefly Monday, on unconfirmed chatter of a potential bid from Lenovo Group Limited (OCT: LNVGY).Spokespersons for Marvel and Lenovo did not respond to requests for comment.Marvell shares fell $0.23 Monday, closing at $13.19.Hearing The Deal Says JP Morgan Interested in Lending Club",7/6/2015 18:10:00,"Benzinga's M&A Chatter for Monday July 6, 2015",The Rumor:,MRVL,,LNVGY,,,,,,,
Bv87,4,"LendingClub Corporation (NYSE: LC) shares spiked higher Monday on a report from The Deal that JP has an interest in the peer-to-peer lending company, which had its IPO in December 2014.After-hours, Charlie Gasparino tweeted that JP Morgan sources said there was no interest in acquiring Lending Club.Lending Club shares gained 5.73% Monday, closing at $14.75.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",7/6/2015 18:10:00,"Benzinga's M&A Chatter for Monday July 6, 2015",The Rumor:,LC,,,,,,,,,
ok70,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Thursday July 2 through Sunday July 5, 2015:Aetna to Acquire Humana for $37B in Cash and Stock",7/5/2015 20:07:00,Benzinga's Weekend M&A Chatter,NA,,,,,,,,,,
ok70,1,"Aetna (NYSE: AET) and Humana Inc. (NYSE: HUM) announced Friday, that Aetna will acquire all outstanding shares of Humana for $37 billion or approximately $230 in cash and stock, based on the closing price of Aetna common shares on July 2, 2015. Humana stockholders will receive $125.00 in cash and 0.8375 Aetna common shares for each Humana share.Closing is expected to take place in H2 of 2016. Humana shares fell 3% Thursday, closing at $187.50. K+S Board Rejects Potash OfferThe Rejection:K+S Aktiengesellschaft rejected Potash Corporation's (NYSE: POT) unsolicited takeover proposal of €41 per share in cash on Thursday. K+S said the offer does not reflect the fundamental value and is not in the best interest of the company. K+S said the proposal disregarded the value of its ""Legacy"" Canadian mining project.Potash responded on Friday, confirming that their proposal ""is not predicated on closing mines, curtailing production, selling the salt business or cutting jobs."" Potash said many of this issues raised by K+S could be addressed in a meeting between the companies.Potash shares fell $0.18 Thursday, closing at $30.99.Axalta Coating Systems Acquires Metalak Benelux BV",7/5/2015 20:07:00,Benzinga's Weekend M&A Chatter,The Deal:,HUM,,AET,,,,,,,
ok70,2,"Axalta Coating Systems (NYSE: AXTA) announced Friday, that on On 1 July, 2015, it completed the acquisition of Metalak Benelux B.V. Terms were not disclosed.Axalta shares fell $0.14 Thursday, closing at $32.50.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",7/5/2015 20:07:00,Benzinga's Weekend M&A Chatter,The Deal:,,,AXTA,,,,,,,
pG93,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Wednesday July 1, 2015:ACE to Acquire Chubb for $28.3B in Cash, Stock",7/1/2015 19:11:00,"Benzinga's M&A Chatter for Wednesday July 1, 2015",NA,,,,,,,,,,
pG93,1,"ACE Limited (NYSE: ACE) and The Chubb Corporation (NYSE: CB) announced Wednesday, that the Boards of Directors of both companies have unanimously approved the acquisition by ACE of Chubb for $62.93 per share in cash and 0.6019 shares of ACE stock. The total value of the deal is $28.3 billion, or $124.13 per share, based on the closing price of ACE shares on June 30, 2015. ACE shareholders will own 70% of the combined company, and Chubb shareholders will own 30%. The transaction is expected to close during the first quarter of 2016,Chubb shares rose 26% Wednesday, closing at $119.99. Ace shares rose $0.81 to close at $102.49.Hearing Unconfirmed Chatter of Potential Exxon Mobil Bid for Anadarko",7/1/2015 19:11:00,"Benzinga's M&A Chatter for Wednesday July 1, 2015",The Deal:,ACE,,CB,,,,,,,
pG93,2,"Shares of Anadarko Petroleum (NYSE: APC) rose briefly Wednesday, on renewed unconfirmed chatter of a potential bid from Exxon Mobil (NYSE: XOM). The rumored offer is up to $90.00 per share, according to sources.Exxon Mobil declined comment on the rumor. Anadarko Petroleum did not respond to a request for comment.Anadarko shares fell $0.88 Wednesday, closing at $77.18.Shaanxi J&R Fire Protection to Acquire 5.5% Stake in CNinsure for $37.36MThe Stake:CNinsure Inc. (NASDAQ: CISG) announced Wednesday that Shaanxi J&R Firefighting Inc. has entered into a share purchase agreement with Kingsford Resources Limited to acquire a 5.5% stake in CNinsure. J&R will purchase from Kingsford 63,320,000 ordinary shares of CNinsure, which is equal to 3,166,000 of CNinsure's ADSs, for a total purchase price of approximately $37.4 million in cash. The deal is expected to close within 60 days.CNinsure shares lost $0.04 Wednesday, closing at $8.79.PayPal tO Acquire Xoom for $25/Share in Cash",7/1/2015 19:11:00,"Benzinga's M&A Chatter for Wednesday July 1, 2015",The Rumor:,APC,,XOM,,,,,,,
pG93,3,"PayPal, Inc. (NYSE: EBAY) and digital money transfer provider Xoom Corporation (NASDAQ: XOOM), announced Wednesday, a definitive agreement under which PayPal will acquire Xoom for $25 per share in cash, for an enterprise value of approximately $890 million. The deal is expected to close in Q4 of 2015.Xoom shares closed Wednesday at $20.70 and traded up 25% after-hours.Posted-In: News Rumors M&A After-Hours Center Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",7/1/2015 19:11:00,"Benzinga's M&A Chatter for Wednesday July 1, 2015",The Deal:,XOOM,,EBAY,,,,,,,
jW73,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Tuesday June 30, 2015:Willis Group, Towers Watson Announce All-Stock Merger Valued at ~$18B",6/30/2015 18:40:00,"Benzinga's M&A Chatter for Tuesday June 30, 2015",NA,,,,,,,,,,
jW73,1,"Willis Group Holdings (NYSE: WSH) and Towers Watson (NASDAQ: TW) announced Tuesday, an agreement, under which the two companies will combine in an all-stock merger of equals. The combined company will be named Willis Towers Watson.The deal is expected to close by December 31, 2015.Willis Group shares rose 4.5% Tuesday, closing at $47.45. Towers Watson shares fell 3% to close at $133.77.Pep Boys to Review Strategic Alternatives, Including Potential Sale, MergerThe Review:The Pep Boys – Manny, Moe & Jack (NYSE: PBY) announced Tuesday, that its Board of Directors has commenced a review of strategic alternatives to enhance shareholder value, including a potental sale, merger or other business combination or strategic transaction. Pep Boys Board said the strategic review process was decided on following receipt of interest from third parties.A 2012 deal between Pep Boys and Gores Groups fell apart when Gores sought a delay due to Pep Boys cautious guidance. Gores had agreed to pay $15.00 per share for the automotive aftermarket retailer.Pep Boys shares rose $0.08 Tuesday, closing at $12.24.Hearing Unconfirmed Chatter Dorrance Family Hired Advisors to Investigate Possible Sale of Campbell Soup",6/30/2015 18:40:00,"Benzinga's M&A Chatter for Tuesday June 30, 2015",The Deal:,,,,,,,,,,
jW73,2,"Shares of Campbell Soup Company (NYSE: CPB) spiked higher Tuesday, on unconfirmed takeover chatter that the Dorrance family, led by 17% shareholder Mary Alice Dorrance Malone, has hired a top advisor and is considering options regarding a sale of the company. According to sources, a deal could be valued at close to $19 billion.Campbell Soup declined comment on the rumor.Campbell Soup shares gained 2% Tuesday, closing at $47.99.Land and Buildings Pushes MGM to Increase Shareholder ValueThe Investor Letter:Shares of MGM Resorts International (NYSE: MGM) spiked higher Tuesday on following announcement by shareholder Land and Buildings, that they had sent a letter to MGM's Board, suggesting potential steps the company could take to enhance shareholder value. Among these, a rumored Wynn Resorts Ltd (NASDAQ: WYNN) and MGM Merger would have ""extraordinary synergies and we hope that should a merger be completed MGM would adopt Wynn's commitment to operational excellence and balance sheet discipline."" Shares of other casino issues, including Las Vegas Sands Corp. (NYSE: LVS) and Melco Crown Entertainment Limited (NASDAQ: MPEL) also rose following the Land and Buildings release.MGM shares gained almost 4% Tuesday, closing at $18.25, Wynn closed at $98.67, up 5%, LVS shares rose almost 5%, to close at $52.57 and Melco shares gained almost 10%, closing at $19.63.Another Twitter Rumor",6/30/2015 18:40:00,"Benzinga's M&A Chatter for Tuesday June 30, 2015",The Rumor:,CPB,,,,,,,,,
jW73,3,"Shares of Twitter, Inc. (NYSE: TWTR) surged higher Tuesday on renewed takeover chatter, this time involving Facebook, Inc. (NASDAQ: FB). Google (NASDAQ: GOOGL) has also been a rumored suitor for Twitter, while Carl Icahn and Bill Ackman have been mentioned as potential large stakeholders in recent weeks.Spokespersons for Twitter and Facebook did not respond to requests for comment on the rumor.Twitter shares gained almost 6% Tuesday, closing at $36.22.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",6/30/2015 18:40:00,"Benzinga's M&A Chatter for Tuesday June 30, 2015",The Rumor:,TWTR,,FB,,,,,,,
tM98,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Monday June 29, 2015:Allegion to Acquire Electronic Lock Company SimonsVoss",6/29/2015 19:43:00,"Benzinga's M&A Chatter for Monday June 29, 2015",NA,,,,,,,,,,
tM98,1,"Allegion, plc (NASDAQ: ALLE) has agreed, through its subsidiary Allegion Luxembourg Holding & Financing S.à r.l, to acquire SimonsVoss Technologies GmbH from HgCapital. Terms were not disclosed.The transaction is expected to close in Q3 of this year, subject to regulatory approvals.Allegion shares closed down more than 2% Monday, at $60.28.Amag Pharma Acquires Cord Blood Registry for $700M",6/29/2015 19:43:00,"Benzinga's M&A Chatter for Monday June 29, 2015",The Deal:,,,ALLE,,,,,,,
tM98,2,"AMAG Pharmaceuticals, Inc. (NASDAQ: AMAG) announced Monday, that it has entered into a definitive agreement to acquire Cord Blood Registry for $700 million. The deal has been approved by both company's Boards and is expected to close in Q3 of 2015.Amag Pharma shares fell 4.5% Monday, closing at $67.14.Kongzhong Announces Nonbinding Acquisition Proposal of $8.56/ADSThe Offer:KongZhong Corporation (NASDAQ: KZ) announced Monday, that its Board of Directors has received a preliminary non-binding proposal letter, dated June 29, from Chairman & CEO Leilei Wang and IDG-Accel China Growth Fund II L.P., to acquire all of the outstanding ordinary shares of the company not owned by the buyers of their affiliates for $8.56 in cash per ADS.KongZhong's Board intends to form a special committee, consisting of independent directors, to consider the proposal. Kongzhong shares gained 5% Monday, closing at $7.39.Xilinx CEO Says Bankers Approached Company on M&A OpportunitiesThe CEO Comment:Shares of Xilinx Inc. (NASDAQ: XLNX) spiked higher Monday on a report from Bloomberg that the company's CEO, Moshe Gavrielov, had been approached by bankers regarding a potential deal. The interest in Xilinx came after Intel Corporation (NASDAQ: INTC) announced on June 1 the acquisition of Altera Corp. (NASDQ: ALTR) for $16.7 billion. Prior to that, Avago Technologies Ltd (NASDAQ: AVGo) agreed to acquire Broadcom Corp (NASDAQ: BRCM) for $37 billion.Garielov said on Monday, Xilinx can continue as a stand-alone company.Xilinx shares lost $0.83 Monday, closing at $43.97.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",6/29/2015 19:43:00,"Benzinga's M&A Chatter for Monday June 29, 2015",The Deal:,,,AMAG,,,,,,,
VC71,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Friday June 26 through Sunday June 28, 2015:Integra LifeSciences to Acquire TEI Biosciences and TEI Medical for $312M Cash",6/28/2015 20:20:00,Benzinga's Weekend M&A Chatter,NA,,,,,,,,,,
VC71,1,"Integra LifeSciences Holdings Corporation (NASDAQ: IART) announced Sunday, a definitive agreement under which Integra will acquire all of the outstanding shares of TEI Biosciences, Inc. and TEI Medical, Inc. for $312 million cash at closing. The deal is expected to close in Q3 of 2015, subject to customary closing conditions.Integra LifeSciences Holdings shares closed at $68.98 on Friday, down $0.06.Hertz in Exclusive Negotiations With Loxam Group for Potential Acquisition of France, Spain Businesses of Hertz Equipment RentalThe Talks:The Hertz Corporation (NYSE: HTZ) announced Friday, that it has entered into exclusive negotiations with the LOXAM Group regarding the potential acquisition of the France and Spain businesses of Hertz Equipment Rental Corporation. The proposed deal includes 60 locations in France and two in Spain and would be accomplished through the transfer of the entire share capital of Hertz Equipement France SAS and Hertz Alquiler de Maquinaria, SLU. Terms of the potential deal have not been disclosed.Hertz shares fell $0.05 Friday, closing at $19.08.David Faber Downplays Rumor of Valeant Bid for Zoetis",6/28/2015 20:20:00,Benzinga's Weekend M&A Chatter,The Deal:,,,IART,,,,,,,
VC71,2,"Shares of Zoetis Inc. (NYSE: ZTS) fell sharply Friday, on comments by CNBC's David Faber, down playing a Thursday Wall Street Journal report that Valeant Pharmaceuticals International, Inc. (NYSE: VRX) has made a preliminary approach to acquire the animal-health company, according to sources. Faber said on Friday, that Valeant is unlikely to pursue a deal.Zoetis shares lost more than 12% Friday, after gaining 14.5% on Thursday, to close at $48.62. Valeant shares fell $4.38, closing at $228.83.Posted-In: CNBC News Rumors M&A Movers Media© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",6/28/2015 20:20:00,Benzinga's Weekend M&A Chatter,The Rumor:,ZTS,,VRX,,,,,,,
Gq06,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Thursday June 25, 2015:K+S Confirms Potash ApproachThe Offer:Shares of Potash Corporation of Saskatchewan Inc (NYSE: POT) and other potash-related issues surged higher Thursday, on a report from Bloomberg, that the Canadian fertilizer company made a bid for Germany's K+S Aktiengesellschaf, but that the offer would most likely be rejected. K+S later confirmed that Potash informed the Board of Executive Directors and the Supervisory Board of K+S Aktiengesellschaft that Potash may make an offer to the shareholders of K+S to acquire all outstanding shares by way of public takeover offer. K+S said that it is currently assessing its options and the process is still ongoing.Potash later confirmed that they had submitted a proposal to K+S.Potash shares closed at $31.89 on Thursday, up $1.45.Martha Stewart Living Has Multiple Bidders, NY Post Says",6/25/2015 18:16:00,"Benzinga's M&A Chatter for Thursday June 25, 2015",NA,,,,,,,,,,
Gq06,1,"Shares of Martha Stewart Living Omnimedia Inc. (NYSE: MSO) rose Thursday, following a report from the NY Post that the company is now attracting multiple bidders, which may include Meredith Corp, (NYSE: MDP) and Iconix Brand Group, Inc. (NASDAQ: ICON).Sequential Brands Group, Inc. (NASDAQ: SQBG) announced on June 22, it was acquiring Martha Stewart Living fOr $6.15/Share, 50% in stock, 50% in Cash.Martha Stewart shares rose almost 4% Thursday, closing at $6.40.General Cable to Sell Asia Pacific Operations for ~$205M",6/25/2015 18:16:00,"Benzinga's M&A Chatter for Thursday June 25, 2015",The Rumor:,MSO,,,,,,,,,
Gq06,2,"General Cable Corporation (NYSE: BGC) announced Thursday, it has agreed to sell its Asia Pacific operations to MM Logistics Co., Ltd. for approximately $205 million in cash of $30 million. The deal is expected to close in Q3.General Cable shares lost more than 2% Thursday, to close at $19.90.Valeant Reportedly Made Preliminary Takeover Approach to Zoetis",6/25/2015 18:16:00,"Benzinga's M&A Chatter for Thursday June 25, 2015",The Deal:,,,,,,,,,,
Gq06,3,"Shares of Zoetis Inc. (NYSE: ZTS) spiked higher just before the close Thurday, on a Wall Street Journal report that Valeant Pharmaceuticals International, Inc. (NYSE: VRX) has made a preliminary approach to acquire the animal-health company, according to sources. It's unknown at this time, how or if Zoetis responded to the approach.Pershing Square's Bill Ackman took a 9.2% stake in Zoetis last November, after failing in an attempt with Valeant, to acquire Allergan plc (NYSE: AGN). Ackman has built-up a $3.3 billion stake in Valeant. Zoetis shares gained 14.5% Thursday, to close at $55.38, while Valeant shares rose 1.75%, closing at $233.21. Zoetis shares were halted just prior to the close on a circuit-breaker.Posted-In: News Hedge Funds Rumors Management Insider Trades M&A Movers General© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",6/25/2015 18:16:00,"Benzinga's M&A Chatter for Thursday June 25, 2015",The Rumor:,ZTS,,VRX,,,,,,,
Ld95,0,"tmoThe following are the M&A deals, rumors and chatter circulating on Wall Street for Wednesday June 24, 2015:Zimmer Holdings Closes Merger with Biomet",6/24/2015 19:58:00,"Benzinga's M&A Chatter for Wednesday June 24, 2015",NA,,,,,,,,,,
Ld95,1,"Zimmer Holdings, Inc. (NYSE: ZMH) announced Wednesday, that they have completed the acquisition of Biomet in a cash and stock deal currently valued at approximately $14.0 billion, and has changed its corporate name to Zimmer Biomet Holdings, Inc. The company will begin trading on the NYSE with the ticker symbol 'ZBH' beginning June 29, 2015.Zimmer confirmed the deal completion following the receipt of U.S. FTC clearance.Zimmer Holdings shares closed at $113.52 on Wednesday, up $0.84. Fiat Chrysler CEO Discusses GM Merger ProspectsThe CEO Comments:Fiat Chrysler Automobiles N.V. (NYSE: FCAU) CEO Sergio Marchionne, said Wednesday that his company was a long way from making an offer to General Motors Company (NYSE: GM) shareholders. Marchionne, speaking at an event outside Milan, where the company presented the new Alfa Giulia, would not respond to a question on the possibility of making a hostile bid for GM, according to Reuters. Marchionne said no contact had been made with the US automaker. GM CEO Mary Barra has already rejected the idea of a merger.Fiat Chrysler shares fell 2% Wednesday, closing at $15.47, while GM shares fell 3%, to end the day at $35.16.Proposed Staples, Office Depot Merger in Jeopardy Following Blocking of Sysco US Foods Deal",6/24/2015 19:58:00,"Benzinga's M&A Chatter for Wednesday June 24, 2015",The Deal:,,,ZMH,,,,,,,
Ld95,2,"Shares of Staples, Inc. (NASDAQ: SPLS) traded lower Wednesday, following a NY Post report that their $6.3 billion merger with Office Depot, Inc. (NYSE: ODP) is less likely, now that Federal Judge Amit Mehta ruled that the Sysco merger with US Foods is temporarily halted until a full trial is held. US Foods has stated it would not extend the merger agreement in case of a halt.The FTC is expected to rule on the Staples-Office Depot merger in Q4.Staples shares lost 4.5% Wednesday, to close at $15.85, while Office Depot shares fell 2.5%, closing at $8.89.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",6/24/2015 19:58:00,"Benzinga's M&A Chatter for Wednesday June 24, 2015",The Rumor:,,,,,,,,,,
wk25,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Tuesday June 23, 2015:Hearing Unconfirmed Market Chatter of Potential GE Bid for 3D Systems",6/23/2015 17:54:00,"Benzinga's M&A Chatter for Tuesday June 23, 2015",NA,,,,,,,,,,
wk25,1,"Shares of 3D Systems Corporation (NYSE: DDD) rose Tuesday on renewed chatter of a potential bid from General Electric Company (NYSE: GE). The potential pairing of GE and 3D has been frequently mentioned, the last time being May 19. Sources on that day said a deal could happen at $36.00 to $42.00 per share.Spokespersons for 3D Systems and GE did not respond to requests for comment.3D Systems shares closed at $21.66 on Tuesday, up 5.5%.Momo Receives Preliminary Non-Binding Go-Private Deal at $18.90/ADSThe Offer:Momo Inc. (NASDAQ: MOMO) announced Tuesday, that its board of directors has received a non-binding proposal letter, dated June 23, 2015, from Momo Co-founder, Chairman and CEO Yan Tang , Matrix Partners China II Hong Kong Limited, Sequoia Capital China Investment Management L.P. and Huatai Ruilian Fund Management Co., Ltd., proposing a ""going-private"" transaction to acquire all of the outstanding Class A ordinary shares of Momo not already owned by the buyer group for 18.90 in cash per ADS.The Board has formed a special committee, which ?plans to retain legal and financial advisors to assist it in evaluating the transaction.Momo shares rose almost 10% Tuesday, closing at $17.24.Uphill Further Increases Purchase Price for ISSU from $22 to $23/ShareThe Offer:Integrated Silicon Solution, Inc. (NASDAQ: ISSI) announced Monday, that Uphill Investment Co. has increased the merger consideration to $23.00 per share in cash, from the $22.00 per share in cash pursuant to the Agreement of Merger dated as of March 12, 2015. The ISSI Board continues to recommend that ISSI's stockholders vote for the adoption of the Uphill Agreement. Cypress Semiconductor submitted a revised offer of $22.25 per share on June 22.Integrated Silicon Solution shares gained almost 4% Tuesday, to close at $23.37MELA Sciences Acquires XTRAC and VTRAC Businesses from PhotoMedex for $42.5M",6/23/2015 17:54:00,"Benzinga's M&A Chatter for Tuesday June 23, 2015",The Rumor:,DDD,,GE,,,,,,,
wk25,2,"MELA Sciences, Inc. (NASDAQ: MELA), announced Tuesday, that it has signed and completed the purchase of the XTRAC and VTRAC Dermatology business from PhotoMedex, Inc. for $42.5 million in cash and the assumption of certain business-related liabilities. MELA Sciences shares lost 23% Tuesday, closing at $1.33.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",6/23/2015 17:54:00,"Benzinga's M&A Chatter for Tuesday June 23, 2015",The Deal:,,,MELA,,,,,,,
GO93,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Monday June 22, 2015:Vimicro Receives Preliminary Non-Binding Proposal to Acquire Company for $13.50/ADSThe Offer:Vimicro International Corporation (NASDAQ: VIMC) announced Monday, that its Board of Directors has received a non-binding proposal letter, dated June 21, 2015, from Dr. Zhonghan (John) Deng, the company's founder, chairman and CEO, and Co-CEO Zhaowei (Kevin) Jin, to acquire all of the outstanding ordinary shares of Vimicro not already owned by the buyer group for for $13.50 per ADS in cash.The Board has formed a special committee to consider the proposal.Vimicro shares closed at $12.10 on Monday, down $0.23.Sequential Brands to Acquire Martha Stewart Living FOr $6.15/Share in Cash, Stock",6/22/2015 18:04:00,"Benzinga's M&A Chatter for Monday June 22, 2015",NA,,,,,,,,,,
GO93,1,"Sequential Brands Group, Inc. (NASDAQ: SQBG) announced Friday, that it has agreed to acquire 100% of the outstanding shares of Martha Stewart Living Omnimedia, Inc. (NYSE: MSO) for $6.15 per share, including 50% in stock and 50% in cash. That is 13% lower than Friday's $6.98 closing price.The acquisition is expected to close in the second half of 2015.Martha Stewart Living shares fell 12% Monday, closing at $6.12.Home Properties to be Acquired by Lone Star Funds for $75.23/Share in Cash",6/22/2015 18:04:00,"Benzinga's M&A Chatter for Monday June 22, 2015",The Deal:,MSO,,SQBG,,,,,,,
GO93,2,"Home Properties, Inc. (NYSE: HME) announced Monday, that it has agreed to be acquired by an affiliate of Lone Star Funds, for $75.23 per share in cash. The deal is expected to close during Q4 of 2015.Home Properties shares gained 1.76% Monday, to close at $74.01.Sutron Agrees to be Acquired by Hach Company Affiliate for $8.50/Share",6/22/2015 18:04:00,"Benzinga's M&A Chatter for Monday June 22, 2015",The Deal:,HME,,,,,,,,,
GO93,3,"Sutron Corporation (NASDAQ: STRN) and Hach Company announced Monday, that an affiliate of Hach Company will acquire Sutron Corporation through a cash tender offer to acquire all outstanding shares of common stock of Sutron, for $8.50 per share in cash, for a total enterprise value of approximately $39 million, net of cash.The deal is expected to be completed in Q3 of 2015.Sutron shares gained 61% Monday, closing at $8.38.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",6/22/2015 18:04:00,"Benzinga's M&A Chatter for Monday June 22, 2015",The Deal:,STRN,,,,,,,,,
sS86,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Friday June 19 through Sunday June 21, 2015:Cigna Rejects Anthem Offer of $184/Share in Cash, StockThe Offer:Anthem, Inc. (NYSE: ANTM) announced Saturday, that it has submitted a non-binding proposal to acquire Cigna Corporation (NYSE: CI) for $184 per share in cash and stock. Cigna shareholders would receive consideration consisting of approximately 31.4% Anthem shares and 68.6% cash.Anthem says it has been engaged with Cigna to explore a potential combination since August 2014 and expects a deal could be reached by the end of June 2015.Cigna on Sunday, announced that its Board had rejected the proposal as inadequate and not in the best interest of shareholders.Cigna shares closed at $155.26 on Friday and traded at $156.40, after-hours.Aetna Makes Offer from Humana, According to Sources",6/21/2015 21:13:00,Benzinga's Weekend M&A Chatter,NA,,,,,,,,,,
sS86,1,"Aetna Inc. (NYSE: AET) has made a bid to acquire Humana, Inc. (NYSE: HUM), according to sources reported by the Wall Street Journal. Humana reportedly hired Goldman Sachs to handle potential offers. There is no indication of the amount of Aetna's offer.The Journal first reported on May 29 that Humana had received takeover interest from Aetna and Cigna.Humana shares gained 1.5% Friday, closing at $202.31.Texas Instruments Held Takeover Talks with Maxim, Freescale, According to Sources",6/21/2015 21:13:00,Benzinga's Weekend M&A Chatter,The Rumor:,HUM,,AET,,,,,,,
